Years_of_Relevant_Experience,Education_Level,Certifications_Count,Industry_References,CV_Strength_Score,Interview_Outcome
8.528104691935328,2,3.0,0,55.00070304607776,1
5.800314416734446,2,4.5,2,63.2519849182241,0
6.957475968211479,1,1.5,1,53.307473105847734,0
9.481786398402916,1,0.0,0,53.280243360496286,1
8.735115980299934,2,1.5,2,92.81380898113909,1
3.045444240247178,1,3.0,0,58.10601303544166,0
6.9001768350511785,2,3.0,0,77.9841202911724,1
4.697285583404605,2,1.5,1,88.67277722245153,1
4.793562296412884,1,4.5,1,72.82047826695333,0
5.821197003876745,1,1.5,1,57.66844389296729,1
5.288087142321756,2,7.5,1,59.979807106005715,1
7.908547013925951,2,4.5,0,71.64921031405903,1
6.522075450293987,2,1.5,1,76.41170445892679,1
5.243350032985656,2,0.0,0,67.47201460242674,0
5.887726465490851,2,6.0,0,89.07398001173307,1
5.667348654748533,2,0.0,2,87.55108244281992,1
7.988158146315213,3,6.0,1,96.36059036865589,1
4.589683472468399,1,6.0,2,51.447627451348026,0
5.626135403301802,2,4.5,1,94.78456456051018,1
3.2918085213965504,3,0.0,2,69.62843942310755,0
0.0,3,1.5,0,93.9186247689997,1
6.307237190880722,2,6.0,1,84.53923880782648,1
6.7288723977190115,1,1.5,1,99.36743785369842,1
3.5156699591871163,3,1.5,1,87.9641225858334,1
9.539509247975214,2,1.5,0,68.22723129983933,0
2.0912686508024705,3,9.0,1,75.05315864173761,1
5.091517034602892,1,1.5,2,68.81945775971757,0
4.625632299948332,3,0.0,4,68.2455918010619,0
8.065558428716916,1,0.0,4,63.04522496905299,0
7.93871753980057,2,1.5,0,74.79851476867348,0
5.309894851393833,1,1.5,2,84.08699725346807,0
5.756325039204347,3,0.0,0,63.86701356526218,0
3.2244285047397745,3,0.0,2,76.218990553861,0
1.038407063552146,2,3.0,0,55.86901470852786,0
4.3041757013476944,2,4.5,1,57.99226434270957,0
5.31269793820796,1,0.0,0,52.34031773560944,0
7.460581361455441,2,0.0,1,98.53657213853164,1
7.404759697568823,2,1.5,0,50.19301757551305,0
4.2253463651840955,2,4.5,0,58.92899840288281,0
4.3953944988493285,3,1.5,0,80.64333765584962,0
2.9028940698658148,3,1.5,4,54.06847994266526,0
2.1599641256420496,3,4.5,0,94.09482515484162,1
1.5874596187499748,1,3.0,1,85.9810078921144,1
8.90155079046358,1,1.5,1,98.31949857189467,1
3.980695636496693,2,1.5,1,75.38177736203824,1
4.123851396777627,1,1.5,0,65.02018415792436,0
2.4944092799001476,2,3.0,1,77.47502863976356,1
6.55498071166382,1,3.0,1,96.54093586489866,1
1.772204304884097,1,3.0,0,76.03807186209303,0
4.574519439572063,1,3.0,0,63.36035159311594,0
3.2090668776126487,2,3.0,1,93.86993945870597,0
5.773804995718524,1,6.0,1,68.59593742562306,0
3.9783897248622537,1,6.0,1,50.069167499949955,1
2.638735631755176,3,4.5,0,62.3842511246158,0
4.94363554332269,2,1.5,0,65.91167545885313,0
5.856663741060835,1,6.0,2,92.93887341159511,1
5.133034444766336,1,7.5,1,72.92515835332225,1
5.604943795479563,2,3.0,3,72.22936439056504,1
3.731355812638073,2,1.5,3,66.80511331999438,0
4.274517668025724,1,1.5,0,94.03390615235398,1
3.655079104448098,3,3.0,0,97.25133884701957,1
4.280893676918917,2,0.0,0,99.59451645773146,1
3.3737074359110917,2,1.5,1,68.83706334804934,0
1.5474347953366463,2,1.5,2,98.30737228135857,1
5.354852284507506,2,4.5,0,89.59397848154507,1
4.196438127583476,1,3.0,3,83.78445738221333,0
1.7396033060679108,1,0.0,2,62.24447397100497,0
5.925564511051548,1,1.5,0,60.82286304721049,0
3.1854032712335156,1,1.5,3,58.302391226062284,0
5.103890791592278,3,1.5,1,96.13783051126828,0
6.4581811243550735,2,0.0,0,64.7038331191583,0
5.257965821514821,2,0.0,0,72.65471227244393,0
7.278801369086601,1,6.0,1,74.69789169936118,1
2.5303483592926947,1,4.5,1,88.90857977251271,1
5.804683282355098,1,3.0,2,92.21174807765121,1
3.6303798181193736,2,3.0,1,56.95363505743064,1
3.2584057016362364,1,3.0,0,71.34521801055368,0
3.842300670471169,2,3.0,1,92.14274439177285,1
4.376894935745255,1,4.5,1,90.90166528779193,1
5.112330684459491,1,1.5,2,55.12068792262082,0
2.669700318433287,1,9.0,1,57.81916744339815,0
6.801652973908374,1,0.0,0,65.2099345799704,0
5.93132487946092,2,4.5,3,53.767953454167014,0
1.9275126274455525,2,4.5,0,71.23315014202964,0
7.976504387591199,2,3.0,1,55.38088525747909,0
8.791778352061167,3,1.5,0,78.41087968349225,1
7.357559142319301,3,3.0,0,62.3278469905578,1
4.640150328375298,1,9.0,1,79.82165326748114,1
2.858494756978915,2,4.5,2,55.87628214518188,1
7.108903453862274,1,1.5,1,98.79419342092666,1
4.193646106053641,1,1.5,1,96.62806019286703,1
7.444890140764855,2,6.0,1,69.58984692823329,1
5.4165499561537205,1,4.5,1,62.108929706304274,0
6.953278072967425,1,3.0,0,62.51991064267864,0
5.7127327943488035,2,1.5,0,74.1696767601196,1
6.413146336383896,3,3.0,2,51.99964009503585,0
5.021000041441641,2,3.0,0,81.98525530375635,0
8.57174098781167,3,3.0,0,70.41514541698724,1
5.25382418540724,1,1.5,0,68.87032862944437,0
5.803978726889404,2,0.0,0,90.46824857445992,1
